publication_number,title,filing_date,grant_date,family_id,assignees,cpc_codes,domains,country,filing_year
US-11833209-B2,Formulated and/or co-formulated liposome compositions containing PD-1 antagonist prodrugs useful in the treatment of cancer and methods thereof,20210910,20231205,78463882,NAMMI THERAPEUTICS INC,A61K31/675 | A61K31/4738 | A61K31/40 | A61K31/704 | A61K31/435 | A61K45/06 | A61K31/445 | A61K2300/00 | A61K31/505 | A61P35/00 | A61K31/44 | A61K47/00 | A61P | A61K47/549 | A61K31/337 | A61K47/6911 | A61K31/69 | A61K47/6927 | A61K31/13 | A61K31/33 | A61K45/00 | A61K31/395 | A61K31/41 | A61K31/70 | A61K31/519 | A61K31/357 | A61K31/4545 | A61K47/54 | A61K31/4025 | A61K31/52 | A61K31/4745 | A61K47/69 | A61K31/555 | A61K31/7024 | A61K31/66 | A61K31/7034 | A61K31/135 | A61K31/7028 | A61K31/522 | A61K31/495 | A61K31/335 | A61K31/47 | A61K47/543 | A61K31/4439 | A61K31/496 | A61K47/6921 | A61K47/6905 | A61K31/4427 | A61K31/00 | A61K31/4412 | A61K31/4523 | A61K47/51 | A61K47/544 | A61K31/136 | A61K47/554 | A61K | A61K47/50 | A61K47/6929 | A61K38/00 | A61K31/4164 | A61K47/548,Pharmaceutical,United States,2021
US-11834360-B2,Integrated device and method for treating toxic and refractory wastewater,20210115,20231205,73278123,UNIV SICHUAN,C02F1/5236 | C02F2209/00 | C02F1/54 | C02F2103/34 | C02F1/74 | C02F9/00 | C02F1/461 | C02F11/121 | C02F1/56 | C02F11/00 | C02F3/30 | C02F2201/002 | C02F1/46 | C02F2301/00 | C02F2103/00 | C02F2301/026 | C02F1/722 | C02F2301/046 | C02F2101/00 | C02F2305/02 | C02F2209/42 | C02F11/12 | C02F3/00 | C02F2101/308 | C02F2305/08 | C02F2209/44 | C02F11/122 | C02F1/52 | C02F2103/36 | C02F2101/306 | C02F1/72 | C02F2103/343 | C02F2301/02 | C02F1/00 | C02F1/68 | C02F2101/30 | C02F2305/00 | C02F1/66 | C02F1/28 | C02F2305/026 | C02F | C02F2301/04 | C02F2201/00 | C02F1/5281 | C02F1/281 | C02F2301/08 | C02F2001/007,Water Treatment,United States,2021
US-11840765-B2,Nitriding process for carburizing ferrium steels,20211025,20231212,61027406,GE AVIO SRL,C21D9/32 | C21D9/00 | C21D1/00 | C22C38/44 | C21D | C22C | C22C38/18 | C22 | C21 | C22C38/52 | C22C38/00 | C22C38/40 | C21D1/06,Metallurgy & Alloys,United States,2021
US-11876268-B2,Polymer electrolyte membrane with platelets,20210625,20240116,84541265,XEROX CORP | PALO ALTO RES CT INC,H01M2300/0017 | H01M8/10 | H01M8/1004 | H01M8/1018 | H01M8/1081 | H01M8/1067 | H01M | H01M2300/00 | H01M8/00 | H01M8/1051 | H01M8/1069 | H01M8/1016 | H01M8/1046 | H01M2300/0088 | H01M2300/0091 | H01M8/1039 | H01M2300/0085 | H01M8/1041 | H01M2300/0065 | H01M8/102 | H01M2300/0082,Electrochemical,United States,2021
US-11890415-B2,Airway management systems for pulmonary disorder treatment,20210311,20240206,78006411,COVIDIEN LP,A61P11/08 | A61P11/00 | A61P,Pharmaceutical,United States,2021
US-11896699-B2,Liquid personal cleansing composition comprising an acyl glycinate/acyl glutamate mixture,20210617,20240213,62624640,CONOPCO INC,A61K8/72 | A61K8/737 | A61K8/44 | A61K8/73 | A61K2800/00 | A61K8/36 | A61K8/00 | A61K8/361 | A61K8/30 | A61K2800/59 | A61K2800/40 | A61K8/731 | A61K8/442 | A61K2800/596 | A61K | A61K8/33 | A61K8/18 | A61K8/40,Pharmaceutical,United States,2021
US-11923547-B2,"Positive electrode plate, electrochemical apparatus, and apparatus",20211014,20240305,69905742,CONTEMPORARY AMPEREX TECHNOLOGY CO LTD,H01M4/364 | H01M4/66 | H01M4/621 | H01M4/623 | H01M4/13 | H01M4/58 | H01M2004/021 | H01M10/052 | H01M2004/028 | H01M2004/026 | H01M10/00 | H01M10/0525 | H01M4/02 | H01M10/05 | H01M4/665 | H01M4/505 | H01M4/136 | H01M4/626 | H01M4/662 | H01M4/131 | H01M4/36 | H01M | H01M4/667 | H01M4/5825 | H01M4/625 | H01M4/50 | H01M4/485 | H01M4/62 | H01M4/00 | H01M4/622 | H01M4/48 | H01M4/668 | H01M4/64 | H01M4/624 | H01M4/525 | H01M4/661 | H01M4/52 | H01M4/362,Electrochemical,United States,2021
US-11985781-B2,Surface treatment for metallic components,20210830,20240514,80741888,APPLE INC,C21D7/00 | C22F1/04 | C21 | C21D7/06 | C21D7/04 | C22 | C22F1/00 | C21D7/02 | C21D | C22F,Metallurgy & Alloys,United States,2021
US-11998926-B2,System and method for processing hemp plants and products produced thereby,20211001,20240604,78086015,MATIV HOLDINGS INC,A61K36/00 | A61K36/185 | A61K36/348 | A61K36/18 | A61K31/658 | A61K36/3482 | A61K31/00 | A61K,Pharmaceutical,United States,2021
US-12012345-B2,Organic wastewater treatment by a single-atom catalytic Fenton filter and electrolytically-generated H2O2,20210119,20240618,76970667,UNIV LELAND STANFORD JUNIOR,C02F1/722 | C02F1/46 | C02F2001/46157 | C02F2201/46 | C02F1/467 | C02F2201/461 | C02F2305/00 | C02F2201/46105 | C02F2305/10 | C02F2001/46161 | C02F2305/023 | C02F1/46109 | C02F2001/46166 | C02F2201/46115 | C02F1/46104 | C02F2001/46152 | C02F2305/026 | C02F2201/00 | C02F1/72 | C02F1/725 | C02F1/461 | C02F2305/02 | C02F1/00 | C02F1/4672 | C02F,Water Treatment,United States,2021
US-12018024-B2,Compounds and compositions for the treatment of cryptosporidiosis,20211012,20240625,78302850,NOVARTIS AG,A61P33/02 | A61P | A61K45/06 | A61K | A61K45/00 | A61P33/00,Pharmaceutical,United States,2021
US-12031217-B2,"Method of producing thin plate-shaped graphite product, flaky graphite, and method of producing flaky graphite",20210616,20240709,71101168,KANEKA CORP | NISINA MAT CO LTD,C25B11/04 | C25B1/135 | C25B11/043 | C25B1/00 | C25B11/042 | C25 | C25B1/01 | C25B | C25B11/00,Electrochemical,United States,2021
US-12070798-B2,Additive manufacturing with in-situ magnetic field source,20210415,20240827,78082372,UNIV IOWA STATE RES FOUND INC | UT BATTELLE LLC,C22C | C22C2202/00 | C22 | C22C2202/02,Metallurgy & Alloys,United States,2021
US-12083567-B2,Method for making a metal material composite,20211101,20240910,86384986,JIANGSU KANGRUI NEW MATERIAL TECH CO LTD,C21 | C22F | C21D7/08 | C21D7/00 | C21D9/0081 | C21D | C21D7/04 | C21D9/00 | C22 | C22F1/04 | C22F1/00 | C21D7/06 | C21D7/02,Metallurgy & Alloys,United States,2021
US-12100847-B2,"Cylindrical battery cell, and battery pack and vehicle comprising same",20211224,20240924,82259789,LG ENERGY SOLUTION LTD,H01M50/502 | H01M50/207 | H01M50/10 | H01M50/545 | H01M50/547 | H01M50/00 | H01M50/584 | H01M2220/00 | H01M50/152 | H01M50/572 | H01M50/30 | H01M50/538 | H01M50/536 | H01M50/167 | H01M10/058 | H01M10/0587 | H01M50/552 | H01M50/14 | H01M10/00 | H01M | H01M10/05 | H01M50/503 | H01M50/147 | H01M50/204 | H01M50/50 | H01M50/559 | H01M50/533 | H01M50/342 | H01M2220/20 | H01M50/59 | H01M50/531 | H01M50/213 | H01M50/593 | H01M50/543 | H01M50/56 | H01M50/107 | H01M50/143 | H01M50/3425 | H01M50/148 | H01M50/20 | H01M50/55 | H01M50/166 | H01M50/102,Electrochemical,United States,2021
US-12113191-B2,Pouch type battery cell and battery pack including the same,20211223,20241008,79019195,SK ON CO LTD,H01M10/65 | H01M10/00 | H01M50/211 | H01M50/533 | H01M50/507 | H01M50/10 | H01M10/6568 | H01M50/553 | H01M50/358 | H01M10/613 | H01M50/502 | H01M50/20 | H01M50/262 | H01M50/50 | H01M10/6553 | H01M10/6567 | H01M10/64 | H01M50/367 | H01M50/30 | H01M50/207 | H01M10/647 | H01M10/656 | H01M50/204 | H01M50/249 | H01M | H01M50/543 | H01M50/184 | H01M50/505 | H01M10/655 | H01M10/61 | H01M50/00 | H01M50/552 | H01M10/653 | H01M50/264 | H01M50/183 | H01M50/531 | H01M50/35 | H01M10/60 | H01M10/6556,Electrochemical,United States,2021
US-12148935-B2,Electrochemical device,20210518,20241119,76221199,PANASONIC IP MAN CO LTD,H01M8/0215 | H01M8/10 | C25B13/02 | H01M4/90 | C25 | C25B | C25B1/01 | H01M8/02 | H01M4/9041 | H01M8/021 | H01M4/00 | H01M4/9016 | C25B13/04 | H01M8/00 | H01M8/0206 | H01M8/1004 | C25B13/00 | C25B1/00 | H01M8/0202 | C25B1/02 | H01M8/0208 | H01M | H01M8/0204 | C25B9/00 | H01M8/0228 | H01M8/0223 | H01M4/86,Electrochemical,United States,2021
US-12173380-B2,Steel sheet and method for producing same,20211224,20241224,82357915,NIPPON STEEL CORP,C21D8/0221 | C21D2211/008 | C21D3/00 | C21D8/0263 | C22C38/005 | C22C38/42 | C21D8/0273 | C21 | C21D2211/005 | C21D2211/009 | C21D1/74 | C22C38/12 | C22C38/60 | C22C38/50 | C21D2211/00 | C22C38/14 | C22C38/32 | C22C38/46 | C21D3/04 | C22C38/40 | C21D8/02 | C22C38/00 | C21D1/76 | C21D1/26 | C22C38/002 | C21D9/00 | C22C38/04 | C21D6/005 | C22C38/58 | C22C38/48 | C22 | C21D1/00 | C22C | C22C38/16 | C21D2211/001 | C21D3/06 | C21D8/0226 | C21D | C21D1/25 | C21D8/0247 | C21D8/00 | C21D2211/002 | C22C38/06 | C21D8/0236 | C21D8/0257 | C22C38/08 | C21D1/18 | C22C38/54 | C21D9/46 | C22C38/38 | C22C38/001 | C22C38/52 | C22C38/02 | C22C38/44 | C22C38/18 | C21D3/02 | C22C38/10 | C21D1/185 | C21D6/00,Metallurgy & Alloys,United States,2021
US-12275090-B2,Process for protecting a part made of an aluminum-based alloy containing copper,20211202,20250415,75108445,SAFRAN ELECTRONICS & DEFENSE,C25 | C22C21/00 | C25D11/02 | C22 | C25D11/18 | C25D | C25D11/08 | C25D13/00 | C22C | C25D13/22 | C25D11/04 | C25D11/06 | C25D11/00 | C22C21/12 | C25D11/24,Metallurgy & Alloys | Electrochemical,United States,2021
US-12295974-B2,Compositions and methods for transplantation of colon microbiota,20211221,20250513,46798573,UNIV MINNESOTA,A61P1/10 | A61K47/00 | A61K9/14 | A61P1/12 | A61K | A61K9/1623 | A61K35/24 | A61P31/00 | A61K47/06 | A61P31/04 | A61K9/1605 | A61K47/08 | A61P1/00 | A61K35/741 | A61K9/0012 | A61K9/1617 | A61K9/0053 | A61K35/74 | A61K35/66 | A61K47/26 | A61K2035/11 | A61P1/04 | A61K35/37 | A61K35/742 | A61K9/00 | A61K45/06 | A61P | A61K35/00 | A61K9/16 | A61K2300/00 | A61K45/00 | A61K35/12,Pharmaceutical,United States,2021
