publication_number,title,filing_date,grant_date,family_id,assignees,cpc_codes,domains,country,filing_year
CN-100339066-C,Stable injection compositions and methods,20001013,20070926,21741883,CAMBRIDGE BIOSTABILITY LTD,A61K9/10 | A61K9/14 | A61K9/00 | A61K9/1605 | A61K | A61K9/16 | A61K9/1617 | A61K9/0012 | A61K9/1623 | A61K9/0019,Pharmaceutical,China,2000
CN-100384436-C,Parenteral cisplatin emulsion,20000726,20080430,11080186,DAFTARY GAUTAM VINOD,A61K9/00 | A61K33/00 | A61P | A61K9/107 | A61P35/00 | A61K | A61K33/243 | A61K9/1075 | A61K33/24 | A61K9/10,Pharmaceutical,China,2000
CN-100387225-C,Tablet-making method of thickened system,20001215,20080514,26007833,HENKEL KGAA,A61K | A61K8/49 | A61K8/00 | A61K8/0216 | A61K8/02 | A61K8/30 | A61K8/4906 | A61K8/4926 | A61K8/18,Pharmaceutical,China,2000
CN-100400487-C,Glucocorticoid receptor modulators,20000327,20080709,22452621,PFIZER PROD INC,A61P37/00 | A61P3/08 | A61P11/02 | A61P3/10 | A61P43/00 | A61P27/16 | A61P3/04 | A61P5/38 | A61P3/00 | A61P29/00 | A61P27/00 | A61P19/02 | A61P5/00 | A61P25/28 | A61P37/02 | A61P5/14 | A61P | A61P11/06 | A61P25/24 | A61P25/22 | A61P19/00 | A61P5/44 | A61P25/00 | A61P11/00,Pharmaceutical,China,2000
CN-100417727-C,Treatment of alpha-galactosidase deficiency,20000309,20080910,23012821,TRANSKARYOTIC THERAPIES INC,A61P13/12 | A61P25/00 | A61K38/16 | A61K38/46 | A61K | A61P | A61P9/00 | A61P3/00 | A61K38/00 | A61P13/00 | A61K38/47 | A61K38/43 | A61P25/02 | A61P3/08,Pharmaceutical,China,2000
CN-100418527-C,Improved pharmaceutical formulations,20000525,20080917,23269615,ABBOTT LAB,A61K9/08 | A61P31/14 | A61K31/4725 | A61P31/18 | A61K31/00 | A61K31/425 | A61K9/00 | A61K31/496 | A61K9/48 | A61K31/63 | A61K9/4858 | A61K31/41 | A61P31/12 | A61P43/00 | A61K31/4427 | A61K | A61K31/5375 | A61K31/495 | A61K31/55 | A61K31/395 | A61K31/472 | A61K31/4709 | A61K31/47 | A61P31/00 | A61K9/4841 | A61K31/33 | A61K31/427 | A61K31/16 | A61K31/435 | A61K31/535 | A61P | A61K31/551 | A61K31/4433 | A61K31/17 | A61K31/44,Pharmaceutical,China,2000
CN-100523192-C,Vaccines from Infectious Agents,20000818,20090805,10859501,IMMUNOBIOLOGY LTD,A61P37/04 | A61K | A61P33/02 | A61P33/00 | A61P31/00 | A61P37/00 | A61K2039/6043 | A61K2039/60 | A61K39/0258 | A61P31/10 | A61K39/02 | A61P | A61K39/025 | A61K39/0275 | A61P37/02 | A61K39/00 | A61P31/04 | A61K2039/6031,Pharmaceutical,China,2000
CN-100551441-C,Compositions comprising Neisseria meningitidis serogroups B and C antigens and other antigens,20001129,20091021,10865363,CHIRON SPA,A61K2039/6031 | A61P37/02 | A61K2039/55505 | A61K2039/55511 | A61K39/116 | A61K2039/555 | A61K39/02 | A61K2039/55566 | A61K47/646 | A61K | A61P31/04 | A61K47/00 | A61P43/00 | A61K2039/6068 | A61K2039/6037 | A61P37/04 | A61K47/51 | A61P | A61P31/20 | A61K47/64 | A61K47/50 | A61K47/6415 | A61K47/62 | A61K2039/60 | A61P31/00 | A61P31/12 | A61P37/00 | A61K39/00 | A61K39/095,Pharmaceutical,China,2000
CN-100591328-C,Cosmetic compositions containing chick pea extract and retinoids,20001109,20100224,22600657,UNILEVER NL,A61K8/00 | A61P17/00 | A61K8/18 | A61K8/67 | A61K8/30 | A61P43/00 | A61K8/97 | A61K8/9783 | A61K8/9789 | A61P | A61K8/96 | A61K8/671 | A61K | A61P17/16,Pharmaceutical,China,2000
CN-1102674-C,An Improved Bearing Steel,20000309,20030305,20414792,OVAKO STEEL AB,C22C38/40 | C22 | C22C38/18 | C22C38/44 | C22C | C22C38/58 | C22C38/00,Metallurgy & Alloys,China,2000
CN-1103380-C,High-strength low-alloy heat-resistant steel,20000818,20030319,26530212,SUMITOMO METAL IND,C22C | C22C38/00 | C22C38/18 | C22C38/40 | C22C38/26 | C22C38/22 | C22C38/28 | C22 | C22C38/24 | C22C38/44,Metallurgy & Alloys,China,2000
CN-1142772-C,Lipophilic microparticles containing protein drug or antigen and preparations comprising the microparticles,20000114,20040324,26634599,LG CHEMICAL LTD,A61P5/50 | A61P31/04 | A61K9/48 | A61P31/16 | A61K9/107 | A61P31/00 | A61K38/212 | A61P31/06 | A61K9/16 | A61K39/39 | A61P5/00 | A61P31/20 | A61K9/50 | A61K9/14 | A61P31/14 | A61K38/00 | A61K9/00 | A61P5/48 | A61K9/1605 | A61P33/02 | A61P | A61P33/00 | A61K38/17 | A61K38/19 | A61K9/10 | A61K9/1652 | A61K9/5015 | A61P31/10 | A61K9/1658 | A61P31/12 | A61K9/5005 | A61K9/113 | A61K39/00 | A61K38/27 | A61K9/1629 | A61K | A61K38/16 | A61K38/22 | A61K38/21 | A61K9/1617,Pharmaceutical,China,2000
CN-1145612-C,"1-Aza-2-alkyl-6-aryl-cycloalkane compounds, processes for their preparation and pharmaceutical compositions containing them",20000430,20040414,9545153,ADIR,A61P25/28 | A61P25/00 | A61P29/00 | A61P | A61P25/04 | A61P43/00 | A61P25/14 | A61P25/16,Pharmaceutical,China,2000
CN-1150889-C,Oral Micro-emulsion composition of silybin,20000705,20040526,19599288,HANMY PHARM CO LTD,A61K | A61P | A61K36/28 | A61K36/00 | A61K9/10 | A61P1/00 | A61K9/1075 | A61K36/185 | A61K36/18 | A61K9/107 | A61K36/19 | A61P1/16 | A61K9/00,Pharmaceutical,China,2000
CN-1158887-C,Portable electric appts. having detachable power source unit,20000218,20040721,20414533,ERICSSON TELEFON AB L M,H01M50/20 | H01M50/247 | H01M50/00 | H01M,Electrochemical,China,2000
CN-1160811-C,Solid electrolytic battery,20000526,20040804,26477445,SONY CORP,H01M4/587 | H01M50/409 | H01M50/491 | H01M6/164 | H01M50/126 | H01M6/14 | H01M6/162 | H01M4/36 | H01M10/4235 | H01M50/121 | H01M6/181 | H01M50/40 | H01M4/58 | H01M4/583 | H01M10/052 | H01M | H01M10/42 | H01M2200/10 | H01M6/16 | H01M2300/0085 | H01M50/10 | H01M10/056 | H01M50/00 | H01M50/411 | H01M10/0564 | H01M50/119 | H01M10/00 | H01M50/124 | H01M50/414 | H01M10/0565 | H01M6/18 | H01M50/494 | H01M50/117 | H01M50/417 | H01M4/00 | H01M50/116 | H01M10/05 | H01M4/02 | H01M2300/0017 | H01M2200/00 | H01M2300/0065 | H01M50/489 | H01M2300/0082 | H01M10/0525 | H01M50/129 | H01M6/00 | H01M50/449 | H01M2300/00,Electrochemical,China,2000
CN-1162096-C,Potassium calcium citrate compositions and methods for production,20000719,20040818,23402339,MISSION PHARMACAL,A61P | A61P19/08 | A61K | A61P3/12 | A61P3/14 | A61K33/06 | A61P19/10 | A61P3/00 | A61P19/00 | A61K33/00,Pharmaceutical,China,2000
CN-1162424-C,Quinolin-4-yl Derivatives II,20000929,20040818,8239160,HOFFMANN LA ROCHE,A61P25/28 | A61P43/00 | A61P25/04 | A61P29/00 | A61P21/00 | A61P | A61P25/16 | A61P25/14 | A61P25/00,Pharmaceutical,China,2000
CN-1163261-C,Method of treating skin pigmentation,20000727,20040825,23422024,JOHNSON & JOHNSON CONSUMER,A61K36/185 | A61K36/18 | A61K8/14 | A61P17/00 | A61K8/4906 | A61K8/18 | A61P17/16 | A61K8/44 | A61K8/67 | A61K36/00 | A61K | A61K8/676 | A61K8/97 | A61K8/42 | A61P | A61K8/9783 | A61K8/02 | A61K8/64 | A61K36/48 | A61K8/30 | A61K8/49 | A61K8/9794 | A61K8/678 | A61K8/40 | A61K8/00 | A61K8/4926 | A61K8/9789 | A61K8/96 | A61K8/41 | A61K8/46,Pharmaceutical,China,2000
CN-1163988-C,Cassette battery,20000209,20040825,26384581,SANYO ELECTRIC CO,H01M50/00 | H01M50/50 | H01M2200/106 | H01M2200/10 | H01M | H01M2200/00 | H01M50/583 | H01M50/572 | H01M50/581 | H01M50/574,Electrochemical,China,2000
CN-1164271-C,Stable solutions of benzazoline and oxymetazoline,20000617,20040901,23322017,BOEHRINGER INGELHEIM INT,A61K33/00 | A61K31/00 | A61P27/16 | A61K31/415 | A61P11/02 | A61P11/00 | A61P | A61P9/00 | A61K31/41 | A61K31/395 | A61K31/4174 | A61K9/0043 | A61P27/00 | A61K | A61K9/0012 | A61K9/08 | A61K33/38 | A61K9/00 | A61K33/24 | A61K31/4164 | A61K31/33,Pharmaceutical,China,2000
CN-1169525-C,Pharmaceutical formulations for taxanes,20000107,20041006,22851219,BIONUMERIK PHARMACEUTICALS INC,A61K9/0012 | A61K9/0019 | A61K47/00 | A61K47/06 | A61K47/26 | A61K9/00 | A61K | A61K31/00 | A61K31/337 | A61K31/33 | A61K47/22 | A61K31/335 | A61P35/00 | A61K47/18 | A61K47/16 | A61P,Pharmaceutical,China,2000
CN-1171331-C,Cylindrical battery and method for mfg. the same,20000329,20041013,26461654,MATSUSHITA ELECTRIC INDUSTRIAL CO LTD,H01M10/24 | H01M50/124 | H01M50/545 | H01M50/543 | H01M50/119 | H01M50/154 | H01M10/42 | H01M50/117 | H01M6/04 | H01M50/30 | H01M50/50 | H01M6/06 | H01M | H01M50/148 | H01M10/52 | H01M6/00 | H01M10/00 | H01M50/116 | H01M50/00 | H01M50/102 | H01M50/10 | H01M50/317 | H01M50/147 | H01M50/325 | H01M50/107,Electrochemical,China,2000
CN-1177551-C,Die manufacturing,20001006,20041201,25587949,LASER OPTIONIC TECHNOLOGIES PR,C25D1/00 | C25 | C25D,Electrochemical,China,2000
CN-1177662-C,"Cast billet for shielding, its heat treatment method and material for shielding",20000524,20041201,26478927,TOYO KOHAN CO LTD,C21D8/00 | C22C38/00 | C21 | C22 | C21D6/001 | C21D6/00 | C22C30/00 | C22C38/08 | C21D | C22C,Metallurgy & Alloys,China,2000
CN-1177828-C,"Novel hydantoin, thiohydantoin, pyrimidinedione and thioxopyrimidinone derivatives, preparation method and use as medicines",20000728,20041201,9548689,SOD CONSEILS RECH APPLIC,A61P3/04 | A61P3/00 | A61P35/02 | A61P1/12 | A61P19/00 | A61P35/00 | A61P43/00 | A61P3/10 | A61P1/18 | A61P37/06 | A61P13/00 | A61P11/02 | A61P37/02 | A61P5/02 | A61P17/00 | A61P17/02 | A61P9/10 | A61P31/00 | A61P19/10 | A61P3/08 | A61P25/04 | A61P5/06 | A61P25/28 | A61P37/00 | A61P31/04 | A61P1/16 | A61P25/00 | A61P19/08 | A61P1/00 | A61P13/12 | A61P17/06 | A61P | A61P9/00 | A61P29/02 | A61P11/00 | A61P5/00 | A61P1/04 | A61P29/00 | A61P3/06 | A61P19/02,Pharmaceutical,China,2000
CN-1181048-C,Aminobenzophenones as inhibitors of IL-1 beta and TNF_alpha,20000711,20041222,22507383,LEO PHARM PROD LTD,A61P17/00 | A61P9/00 | A61P31/18 | A61P9/10 | A61P11/06 | A61P43/00 | A61P1/00 | A61P31/04 | A61P17/06 | A61P19/02 | A61P31/14 | A61P | A61P19/00 | A61P29/00 | A61P19/08 | A61P11/00 | A61P31/12 | A61P31/00 | A61P1/04 | A61P37/00 | A61P19/06 | A61P37/08 | A61P19/10,Pharmaceutical,China,2000
CN-1182263-C,Base metal recovery from tailings drum by bacterial oxidation,20000831,20041229,25587796,BILLITON S A LTD,C22B3/18 | C22 | C22B3/00 | C22B15/0063 | C22B | C22B15/00,Metallurgy & Alloys,China,2000
CN-1183041-C,Process for purification of industrial waste water from propylene oxide production process,20001101,20050105,8240814,SHELL INT RESEARCH,C02F1/02 | C02F1/04 | C02F | C02F1/00 | C02F1/048,Water Treatment,China,2000
CN-1190423-C,Heterocyclic Derivatives and Drugs,20001213,20050223,26579988,NIPPON SHINYAKU CO LTD,A61K | A61K31/33 | A61K31/44 | A61K31/00 | A61P | A61K31/435 | A61P35/00 | A61K31/395,Pharmaceutical,China,2000
CN-1191053-C,Oral composition containing perlite,20000523,20050302,8240277,UNILEVER NV,A61K8/22 | A61K8/00 | A61K8/19 | A61K8/26 | A61K8/18 | A61K,Pharmaceutical,China,2000
CN-1192795-C,colistin sulfate particles,20000606,20050316,18436377,ASAHI CHEMICAL IND,A61K9/1688 | A61K9/16 | A61K9/1682 | A61K | A61K9/14 | A61K9/00,Pharmaceutical,China,2000
CN-1195474-C,Denture adhesive composition,20000413,20050406,26827302,PROCTER & GAMBLE,A61K6/35 | A61K6/30 | A61K | A61K6/00,Pharmaceutical,China,2000
CN-1198628-C,Conditioned cell culture medium compositions and methods of use thereof,20000512,20050427,23216124,SKIN MEDICAL INC,A61K2800/91 | A61K2800/80 | A61K9/0012 | A61P17/18 | A61K | A61P43/00 | A61K8/65 | A61K8/64 | A61P13/12 | A61P1/00 | A61K8/00 | A61P19/08 | A61K8/18 | A61P19/00 | A61P13/00 | A61K45/00 | A61K2800/86 | A61P15/00 | A61K8/0208 | A61K38/00 | A61K35/36 | A61K35/12 | A61K38/1825 | A61K9/0014 | A61P41/00 | A61K38/18 | A61K35/35 | A61P17/00 | A61K8/30 | A61K8/98 | A61K35/48 | A61K45/06 | A61P39/06 | A61K9/00 | A61K38/17 | A61P25/00 | A61P39/00 | A61K35/00 | A61P17/02 | A61K8/02 | A61P1/16 | A61P17/16 | A61K8/96 | A61P1/04 | A61K38/39 | A61P1/18 | A61K8/985 | A61P | A61K35/50 | A61K2800/00 | A61K38/16 | A61K35/33 | A61K8/981 | A61P17/14,Pharmaceutical,China,2000
CN-1203191-C,Cooling plates for shaft furnaces,20000406,20050525,26003817,SMS DEMAG AG,C21 | C21B7/00 | C21B7/10 | C21B,Metallurgy & Alloys,China,2000
CN-1218182-C,Method for isolating cells using immunorosettes,20000526,20050907,27384918,STEMCELL TECHNOLOGIES INC,A61K39/00 | A61K2039/505 | A61K,Pharmaceutical,China,2000
CN-1221534-C,Substituted 8-arylquinoline phosphodiesterase-4 inhibitors,20001220,20051005,22624050,MERCK FROSST CANADA INC,A61P19/08 | A61P37/00 | A61P13/00 | A61P19/00 | A61P11/06 | A61P9/00 | A61P19/02 | A61P11/00 | A61P11/16 | A61P31/00 | A61P7/00 | A61P7/12 | A61P35/00 | A61P | A61P19/10 | A61P13/12 | A61P17/06 | A61P17/04 | A61P29/00 | A61P37/08 | A61P1/00 | A61P17/00 | A61P25/00 | A61P1/04,Pharmaceutical,China,2000
CN-1224609-C,Process for the preparation of arylethanolamine derivatives having anti-obesity and anti-diabetic properties,20001208,20051026,10866125,GLAXO GROUP LTD,A61P3/00 | A61P | A61P3/08 | A61P3/04 | A61P3/10,Pharmaceutical,China,2000
CN-1225285-C,Gene therapeutic agent,20000314,20051102,13666162,TAKARA SHUZO CO,A61K48/00 | A61K | A61K39/395 | A61K39/00,Pharmaceutical,China,2000
CN-1229146-C,Bone cement with bioactivity for treating osteoporosis,20001208,20051130,26869991,GANGDA HENGDE BONE BIOCOLOGY S,A61K6/838 | A61K6/887 | A61K6/00 | A61K | A61K6/831 | A61K6/80 | A61K6/884,Pharmaceutical,China,2000
CN-1229374-C,Substituted bisindolylmaleimides for inhibition of cell proliferation,20001212,20051130,22622296,HOFFMANN LA ROCHE,A61P35/00 | A61P | A61P43/00,Pharmaceutical,China,2000
CN-1244173-C,Electrochemical capacitor,20000913,20060301,17371423,MATSUSHITA ELECTRIC INDUSTRIAL CO LTD,H01M4/02 | H01M4/60 | H01M4/62 | H01M | H01M4/36 | H01M4/00,Electrochemical,China,2000
CN-1254875-C,polymer electrolyte fuel cell,20000824,20060503,27477870,MATSUSHITA ELECTRIC INDUSTRIAL CO LTD,H01M8/1004 | H01M | H01M2008/1095 | H01M8/0202 | H01M4/8636 | H01M8/02 | H01M8/00 | H01M4/00 | H01M8/023 | H01M8/0234 | H01M4/8605 | H01M4/86 | H01M8/10,Electrochemical,China,2000
CN-1261416-C,"Perfluoroalkyl amides, method for the production thereof and use thereof in diagnostics",20000315,20060628,7902746,SCHERING AG,A61P | A61K | A61K49/00 | A61P39/00 | A61K49/10 | A61K49/06 | A61K49/085 | A61K49/08 | A61P39/04,Pharmaceutical,China,2000
CN-1267015-C,Solidified block feed and its use,20000531,20060802,11736091,NIPPON ZENYAKU KOGYO KK,A61P | A61P43/00,Pharmaceutical,China,2000
CN-1267089-C,"Morphine sulfate microparticles, its preparation method and composition containing the substance",20000608,20060802,9546553,ETHYPHARM LAB PROD ETHIQUES,A61K31/00 | A61K9/5073 | A61K | A61K9/5042 | A61P25/00 | A61K31/485 | A61K9/5036 | A61P | A61P25/04 | A61K9/5021 | A61K31/395 | A61K9/50 | A61K31/33 | A61K31/47 | A61K31/435 | A61K9/5026 | A61P25/02 | A61K9/5078 | A61K9/5005 | A61K9/00 | A61K9/5047 | A61K9/501 | A61P29/00 | A61K9/48 | A61P23/00,Pharmaceutical,China,2000
CN-1277330-C,Non-aqueous electrolyte secondary battery and its mfg. method,20000809,20060927,26527188,SANYO ELECTRIC CO,H01M4/02 | H01M4/66 | H01M4/661 | H01M4/00 | H01M10/0431 | H01M10/0587 | H01M50/536 | H01M50/531 | H01M50/538 | H01M10/0525 | H01M10/00 | H01M50/50 | H01M10/04 | H01M50/00 | H01M50/533 | H01M10/058 | H01M4/64 | H01M10/052 | H01M10/05 | H01M50/534 | H01M,Electrochemical,China,2000
CN-1300155-C,Glycerophosphoinositide derivatives as modulators of cytosolic phospholipases,20001107,20070214,11133577,I R B INST TO DI RICECHE BIOTE,A61P31/04 | A61P27/02 | A61P27/06 | A61P3/10 | A61P31/12 | A61P37/00 | A61P27/00 | A61P9/00 | A61P7/00 | A61P11/00 | A61P25/18 | A61P19/02 | A61P25/24 | A61P19/00 | A61P37/08 | A61P11/06 | A61P25/06 | A61P35/00 | A61P25/00 | A61P1/02 | A61P | A61P25/28 | A61P29/00 | A61P1/00 | A61P17/00 | A61P3/08 | A61P1/14 | A61P25/02 | A61P17/06 | A61P3/04 | A61P3/00 | A61P1/18 | A61P43/00 | A61P31/00 | A61P25/30,Pharmaceutical,China,2000
CN-1325497-C,Pharmaceutically active isoindoline derivatives,20001109,20070711,27389110,CELGENE CORP,A61P1/00 | A61P | A61P37/00 | A61P35/00 | A61P29/00 | A61P35/02 | A61P31/22 | A61P31/18 | A61P31/12 | A61P31/20 | A61P11/08 | A61P11/06 | A61P19/02 | A61P37/02 | A61P43/00 | A61P31/14 | A61P19/00 | A61P31/00 | A61P11/00 | A61P37/06,Pharmaceutical,China,2000
CN-1377415-B,vaccine composition,20000731,20110518,10858521,SMITHKLINE BEECHAM BIOGICALS S S A,A61P31/04 | A61K39/095 | A61K47/69 | A61K2039/52 | A61P31/14 | A61P37/02 | A61K2039/55544 | A61K35/66 | A61K47/00 | A61K35/00 | A61K47/6905 | A61P31/16 | A61K39/145 | A61K47/50 | A61P27/00 | A61K35/74 | A61K2039/522 | A61P29/00 | A61K47/6911 | A61P37/04 | A61K39/12 | A61P | A61P11/00 | A61P37/00 | A61P31/00 | A61K2039/51 | A61P27/16 | A61K2039/55511 | A61K2039/555 | A61K | A61P31/12 | A61K2039/70 | A61K2039/55505 | A61K39/00 | A61K39/02,Pharmaceutical,China,2000
CN-100343177-C,Adsorbers and Iron Oxide Adsorbents,20010921,20071017,27575992,BAYER AG,C02F1/008 | C02F | C02F2303/16 | C02F1/00 | C02F2303/00 | C02F2101/20 | C02F2201/006 | C02F1/281 | C02F2101/10 | C02F2201/002 | C02F2201/00 | C02F2101/00 | C02F1/28,Water Treatment,China,2001
CN-100350976-C,A reversible gel system for ocular drug delivery,20011203,20071128,24938883,BAUSCH & LOMB,A61K47/36 | A61P27/04 | A61P | A61P27/02 | A61K9/0048 | A61P31/00 | A61P31/04 | A61K9/20 | A61K47/10 | A61K | A61K47/06 | A61K47/00 | A61K9/0012 | A61K47/30 | A61K47/08 | A61K9/00 | A61P27/00,Pharmaceutical,China,2001
CN-100358912-C,Process for preparing erythromycin derivatives,20010831,20080102,18752563,CHOONGWAE PHARMACUTICAL CORP,A61P1/00 | A61P31/04 | A61P31/00 | A61K | A61K31/70 | A61K31/7048 | A61K31/7042 | A61P | A61K31/00,Pharmaceutical,China,2001
CN-100438779-C,Oligosaccharide-containing nutritional composition with health-promoting effect,20011224,20081203,8172539,NUTRICIA NV,A61P31/00 | A61P3/00 | A61P3/02 | A61P1/12 | A61P | A61P1/00,Pharmaceutical,China,2001
CN-100448486-C,Use of P2Y purinergic receptor expression for identifying preneoplastic and neoplastic states,20011211,20090107,3826050,BIOSCEPTRE PTY LTD,A61P | A61P35/00,Pharmaceutical,China,2001
CN-100467598-C,Fungal cell wall synthetic genes,20010706,20090311,31884246,EISAI CO LTD,A61K38/00 | A61K31/535 | A61K31/47 | A61K | A61K31/4355 | A61K31/4365 | A61K31/435 | A61K31/5377 | A61K31/00 | A61K31/437 | A61K31/4725 | A61K31/44 | A61K31/5375 | A61K31/395 | A61K31/33 | A61K31/472 | A61K31/4353,Pharmaceutical,China,2001
CN-100545174-C,Compositions and methods for wt1 specific immunotherapy,20011003,20090930,27505400,CORIXA CORP GAIGER ALEXANDER,A61K38/00 | A61K40/42 | A61K48/00 | A61K40/4243 | A61K40/11 | A61P37/02 | A61K2039/51 | A61K39/00 | A61P43/00 | A61K40/00 | A61K40/10 | A61K2039/515 | A61P35/00 | A61P37/00 | A61K40/4242 | A61K40/40 | A61K | A61P35/02 | A61P | A61K40/41 | A61P37/04,Pharmaceutical,China,2001
CN-102010324-B,Aspirin-triggered lipid mediator,20010216,20140402,26878731,BRIGHAM & WOMENS HOSPITAL,A61P11/06 | A61P27/00 | A61P17/00 | A61P1/00 | A61P7/00 | A61P9/00 | A61P43/00 | A61P9/14 | A61P29/00 | A61P19/02 | A61P1/04 | A61P9/10 | A61P7/02 | A61P17/06 | A61P11/00 | A61P37/00 | A61P27/02 | A61P17/02 | A61P19/00 | A61P17/04 | A61P | A61P17/08 | A61P37/08,Pharmaceutical,China,2001
CN-102183665-B,Methods and devices for monitoring antiplatelet agents,20010605,20130821,24366228,HAEMOSCOPE CORP,A61P7/02 | A61P | A61P7/00 | A61P7/04,Pharmaceutical,China,2001
CN-1162441-C,"Pluraflavin and its derivatives, their preparation method and use",20010215,20040818,8167898,AVENTIS PHARMA GMBH,A61P31/00 | A61P35/02 | A61P31/10 | A61P11/00 | A61K31/7048 | A61P35/00 | A61K | A61P31/04 | A61K31/00 | A61P3/00 | A61P1/00 | A61P | A61P15/00 | A61K31/70 | A61K31/7042,Pharmaceutical,China,2001
CN-1166019-C,Preparation of nanometer electrical catalyst for protein exchange film fuel cell,20010525,20040908,4663058,CHANGCHUN APPLIED CHEMISTRY,H01M8/10 | H01M8/1009 | H01M4/92 | H01M4/926 | H01M4/86 | H01M | H01M4/00 | H01M8/00 | H01M4/925 | H01M4/921 | H01M4/90,Electrochemical,China,2001
CN-1174992-C,Method for preparing 9-deoxy-8a-aza-(8a-alkyl)-8a-homoerythromycin A derivatives from 9-deoxy-9(Z)-hydroxyiminoerythromycin A,20010323,20041110,8848497,MERIAL SAS,A61P31/00 | A61P31/04 | A61P,Pharmaceutical,China,2001
CN-1179436-C,Nickel positive active material and nickel-hydrogen accumulator,20010328,20041208,18603931,MATSUSHITA ELECTRIC INDUSTRIAL CO LTD,H01M4/00 | H01M4/52 | H01M10/00 | H01M4/62 | H01M | H01M10/34 | H01M10/345 | H01M4/02 | H01M4/36 | H01M4/48,Electrochemical,China,2001
CN-1179952-C,Pyrimidine-4-one derivatives as LDL-PLA2 inhibitors,20010213,20041215,26243663,SMITHKLINE BEECHAM PLC,A61P9/10 | A61P | A61P3/06 | A61P9/08 | A61P17/06 | A61P25/28 | A61P3/10 | A61P43/00 | A61P9/12 | A61P25/00 | A61P19/00 | A61P19/02 | A61P3/00 | A61P9/00 | A61P29/00 | A61P17/00 | A61P3/08,Pharmaceutical,China,2001
CN-1180498-C,Non-aqueous electrolyte secondary cell,20010930,20041215,18788634,SONY CORP,H01M10/056 | H01M10/058 | H01M4/58 | H01M10/052 | H01M4/02 | H01M4/136 | H01M4/48 | H01M4/00 | H01M10/00 | H01M10/0587 | H01M10/05 | H01M4/36 | H01M4/13 | H01M10/0525 | H01M10/0565 | H01M10/0564 | H01M | H01M4/5825 | H01M4/133,Electrochemical,China,2001
CN-1184148-C,Electrolytic process based water treatment,20010315,20050112,25646275,OZCENT HOLDING LTD,C02F | C02F1/46 | C02F1/461 | C02F1/00 | C02F1/463,Water Treatment,China,2001
CN-1187244-C,Surface treatment device,20010601,20050202,18940479,JAPAN ILUMEX K K,C25D17/06 | C25D17/00 | C25 | C25D,Electrochemical,China,2001
CN-1191271-C,Thymic peptide fusion protein as one new interferon and its prepn. and use,20010321,20050302,4654774,SHANGHAI INST BIOCHEMISTRY,A61P37/02 | A61K | A61P31/12 | A61P31/00 | A61P37/04 | A61P | A61P37/00 | A61K38/00,Pharmaceutical,China,2001
CN-1198642-C,Pharmaceutical use of mammalian cytokinin synthesis inhibitor,20010329,20050427,27005854,SCHERING CORP,A61P | A61K38/00 | A61P37/02 | A61P37/00 | A61K,Pharmaceutical,China,2001
CN-1202096-C,2-aminothiazoline derivatives and their use as NO-synthase inhibitors,20010607,20050518,8851134,AVENTIS PHARMA SA,A61K31/44 | A61P | A61K31/4427 | A61P11/06 | A61P3/00 | A61K31/426 | A61K31/435 | A61P11/00 | A61K | A61P1/00 | A61K31/33 | A61P9/10 | A61P35/00 | A61P19/02 | A61P1/04 | A61P19/00 | A61P25/00 | A61K31/41 | A61K31/425 | A61P3/08 | A61P9/00 | A61P3/10 | A61K31/00 | A61K31/395 | A61K31/4439,Pharmaceutical,China,2001
CN-1205682-C,Additive for electrode,20010406,20050608,18620041,DAIKIN IND LTD,H01M4/0404 | H01M4/62 | H01M4/623 | H01M4/622 | H01M | H01M4/0402 | H01M4/02 | H01M4/00 | H01M4/04 | H01M4/621,Electrochemical,China,2001
CN-1209297-C,A photocatalytic method for the removal of organic matter from wastewater,20010608,20050706,8168957,DEGUSSA,C02F2305/00 | C02F1/725 | C02F2305/10 | C02F1/66 | C02F2101/36 | C02F1/72 | C02F1/00 | C02F1/32 | C02F1/30 | C02F2101/30 | C02F2101/00 | C02F,Water Treatment,China,2001
CN-1217652-C,Cosmetic method for caring skin,20011102,20050907,9903147,UNILEVER PLC,A61P29/00 | A61K8/63 | A61K8/30 | A61K8/49 | A61P | A61K8/18 | A61P17/16 | A61K | A61K8/498 | A61P17/00 | A61K8/4973 | A61K8/00,Pharmaceutical,China,2001
CN-1219339-C,Circulating battery,20010410,20050914,4583541,XU YANG,H01M | H01M6/5077 | H01M12/06 | H01M12/04 | H01M12/00 | H01M12/065 | H01M6/00 | H01M6/50,Electrochemical,China,2001
CN-1220060-C,Method and kit for screening active ingredients from plant extracts,20010904,20050921,24845266,ADVANCED GENE TECHNOLOGY CORP,A61K31/7052 | A61K31/70 | A61P9/00 | A61K31/727 | A61K31/706 | A61P7/02 | A61K45/06 | A61K31/7064 | A61K31/715 | A61P7/00 | A61P9/10 | A61K31/7042 | A61K | A61K31/00 | A61K31/726 | A61K45/00 | A61P | A61K31/7076,Pharmaceutical,China,2001
CN-1221527-C,Novel crystallization of stilbene derivatives and its production method,20010314,20051005,18594552,AJINOMOTO KK,A61P35/00 | A61K31/16 | A61K31/165 | A61K | A61P | A61K31/00 | A61K31/167,Pharmaceutical,China,2001
CN-1222539-C,A human receptor protein; related reagents and methods,20010523,20051012,22771074,SCHERING CORP,A61P | A61P37/00 | A61P43/00 | A61K | A61K38/00,Pharmaceutical,China,2001
